Title,Views,Likes,Comments,Published Date,Video ID
Ex- Abercrombie & Fitch CEO charged with sex trafficking over a dozen alleged victims,581749,5070,2676,2024-10-23T06:06:10Z,RMu9cZ0znZE
White Hot: The Rise & Fall of Abercrombie & Fitch | Official Trailer | Netflix,1147115,16335,2148,2022-03-31T17:30:00Z,3yperp-SFYM
Ex-Abercrombie & Fitch CEO Raped Male Models During ‘Sex Parties’: Indictment,628391,9808,3149,2024-10-22T23:30:03Z,KmYgmagq7Ic
Former Abercrombie & Fitch CEO Accused of Sex Trafficking,78472,1459,548,2024-10-22T21:54:37Z,8EiVOd9_zN4
"Ex-Abercrombie & Fitch CEO among 3 arrested for sex trafficking, prostitution charges | FULL",33765,474,214,2024-10-22T16:26:40Z,LqC8eHPkdsc
Abercrombie & Fitch - The Rise and Fall...And Rise Again,93874,4798,642,2024-09-11T18:00:03Z,jHeDN8wiiwo
An update on the Abercrombie & Fitch sex trafficking case,5345,63,18,2024-12-04T00:29:34Z,FcsX1-Iwins
Why Abercrombie & Fitch’s Stock Exploded Faster Than Nvidia’s | WSJ Case Study,731610,9484,427,2024-07-08T14:00:12Z,FvE1YOxtMaM
Former CEO of Abercrombie & Fitch indicted on sex trafficking charges,53417,721,618,2024-10-22T19:15:00Z,75c-nXK7VSc
